Icarus Keywords / UAT Crosswalk by Katie Frey (https://orcid.org/0000-0001-9891-4465),,,,
"Neptune, satellites",exactMatch,Neptunian satellites,http://astrothesaurus.org/uat/1098,
Occultations,exactMatch,Occultation,http://astrothesaurus.org/uat/1148,
Orbit determination,exactMatch,Orbit determination,http://astrothesaurus.org/uat/1175,
Organic chemistry,(no match),,,
"Origin, Solar System",relatedMatch,Solar system formation,http://astrothesaurus.org/uat/1530,
Photochemistry,(no match),,,
Photometry,exactMatch,Photometry,http://astrothesaurus.org/uat/1234,
Planetary dynamics,exactMatch,Planetary dynamics,http://astrothesaurus.org/uat/2173,
Planetary formation,exactMatch,Planet formation,http://astrothesaurus.org/uat/1241,
Planetary rings,exactMatch,Planetary rings,http://astrothesaurus.org/uat/1254,
Planet-disk interactions,exactMatch,Planetary-disk interactions,http://astrothesaurus.org/uat/2204,
Planetesimals,exactMatch,Planetesimals,http://astrothesaurus.org/uat/1259,
"Planets, migration",exactMatch,Planetary migration,http://astrothesaurus.org/uat/2206,
Pluto,exactMatch,Pluto,http://astrothesaurus.org/uat/1267,
"Pluto, atmosphere",narrowMatch,Planetary atmospheres,http://astrothesaurus.org/uat/1244,
"Pluto, atmosphere",narrowMatch,Pluto,http://astrothesaurus.org/uat/1267,
"Pluto, satellites",exactMatch,Plutonian satellites,http://astrothesaurus.org/uat/2202,
"Pluto, surface",narrowMatch,Pluto,http://astrothesaurus.org/uat/1267,
"Pluto, surface",narrowMatch,Planetary surfaces,http://astrothesaurus.org/uat/2113,
Polarimetry,exactMatch,Polarimetry,http://astrothesaurus.org/uat/1278,
Prebiotic chemistry,exactMatch,Pre-biotic astrochemistry,http://astrothesaurus.org/uat/2079,
Prebiotic environments,(no match),,,
Radar observations,closeMatch,Remote sensing,http://astrothesaurus.org/uat/2191,
Radiative transfer,exactMatch,Radiative transfer,http://astrothesaurus.org/uat/1335,
Radio observations,relatedMatch,Radio sources,http://astrothesaurus.org/uat/1338,
Radio observations,relatedMatch,Radio astronmy,http://astrothesaurus.org/uat/1358,
"Reasonances, rings",(no match),,,
"Reasonances, spin-orbit",(no match),,,
Regoliths,(no match),,,
"Resonances, orbital",exactMatch,Orbital resonances,http://astrothesaurus.org/uat/1181,
Rotational dynamics,(no match),,,
Satellites of asteroids,exactMatch,Asteroid satellites,http://astrothesaurus.org/uat/2207,
"Satellites, atmospheres",exactMatch,Natural satellite atmospheres,http://astrothesaurus.org/uat/2214,
"Satellites, composition",(no match),,,
"Satellites, dynamics",exactMatch,Natural satellite dynamics,http://astrothesaurus.org/uat/2212,
"Satellites, formation",exactMatch,Natural satellite formation,http://astrothesaurus.org/uat/1425,
"Satellites, general",exactMatch,Natural satellites (Solar system),http://astrothesaurus.org/uat/1089,
"Satellites, shapes",(no match),,,
"Satellites, surfaces",exactMatch,Natural satellite surfaces,http://astrothesaurus.org/uat/2208,
Saturn,exactMatch,Saturn,http://astrothesaurus.org/uat/1426,
"Saturn, atmosphere",narrowMatch,Planetary atmospheres,http://astrothesaurus.org/uat/1244,
"Saturn, atmosphere",narrowMatch,Saturn,http://astrothesaurus.org/uat/1426,
"Saturn, interior",narrowMatch,Planetary interior,http://astrothesaurus.org/uat/1248,
"Saturn, interior",narrowMatch,Saturn,http://astrothesaurus.org/uat/1426,
"Saturn, magnetosphere",narrowMatch,Planetary magnetospheres,http://astrothesaurus.org/uat/997,
"Saturn, magnetosphere",narrowMatch,Saturn,http://astrothesaurus.org/uat/1426,
"Saturn, rings",narrowMatch,Planetary rings,http://astrothesaurus.org/uat/1254,
"Saturn, rings",narrowMatch,Saturn,http://astrothesaurus.org/uat/1426,
"Saturn, satellites",exactMatch,Saturnian satellites,http://astrothesaurus.org/uat/1427,
Search for Extraterrestrial Life,closeMatch,Search for extraterrestrial intelligence,http://astrothesaurus.org/uat/2127,
Search for Extraterrestrial Life,closeMatch,biosignatures,http://astrothesaurus.org/uat/2018,
Solar Nebula,exactMatch,Solar nebulae,http://astrothesaurus.org/uat/1508,
Solar radiation,exactMatch,Solar radiation,http://astrothesaurus.org/uat/1521,
Solar wind,exactMatch,Solar wind,http://astrothesaurus.org/uat/1534,
Spectrophotometry,exactMatch,Spectrophotometry,http://astrothesaurus.org/uat/1556,
Spectroscopy,exactMatch,Spectroscopy,http://astrothesaurus.org/uat/1558,
Tectonics,exactMatch,Tectonics,http://astrothesaurus.org/uat/2175,
Terrestrial planets,exactMatch,Solar system terrestrial planets,http://astrothesaurus.org/uat/797,
Thermal histories,(no match),,,
"Tides, atmospheric",exactMatch,Atmospheric tides,http://astrothesaurus.org/uat/118,
"Tides, solid body",(no match),,,
Titan,exactMatch,Titan,http://astrothesaurus.org/uat/2186,
"Titan, atmosphere",narrowMatch,Titan,http://astrothesaurus.org/uat/2186,
"Titan, atmosphere",narrowMatch,Natural satellite atmospheres,http://astrothesaurus.org/uat/2214,
"Titan, clouds",narrowMatch,Titan,http://astrothesaurus.org/uat/2186,
"Titan, hydrology",narrowMatch,Titan,http://astrothesaurus.org/uat/2186,
"Titan, interior",narrowMatch,Titan,http://astrothesaurus.org/uat/2186,
"Titan, surface",narrowMatch,Titan,http://astrothesaurus.org/uat/2186,
"Titan, surface",narrowMatch,Natural satellite surfaces,http://astrothesaurus.org/uat/2208,
Trans-neptunian objects,exactMatch,Trans-Neptunian objects,http://astrothesaurus.org/uat/1705,
Triton,exactMatch,Triton,http://astrothesaurus.org/uat/2187,
Trojan asteroids,exactMatch,Trojan asteroids,http://astrothesaurus.org/uat/1715,
Ultraviolet observations,relatedMatch,Ultraviolet astronomy,http://astrothesaurus.org/uat/1736,
Ultraviolet observations,relatedMatch,Ultraviolet sources,http://astrothesaurus.org/uat/1741,
Uranus,exactMatch,Uranus,http://astrothesaurus.org/uat/1751,
"Uranus, atmosphere",narrowMatch,Planetary atmospheres,http://astrothesaurus.org/uat/1244,
"Uranus, atmosphere",narrowMatch,Uranus,http://astrothesaurus.org/uat/1751,
"Uranus, interior",narrowMatch,Planetary interior,http://astrothesaurus.org/uat/1248,
"Uranus, interior",narrowMatch,Uranus,http://astrothesaurus.org/uat/1751,
"Uranus, magnetosphere",narrowMatch,Planetary magnetospheres,http://astrothesaurus.org/uat/997,
"Uranus, magnetosphere",narrowMatch,Uranus,http://astrothesaurus.org/uat/1751,
"Uranus, rings",narrowMatch,Planetary rings,http://astrothesaurus.org/uat/1254,
"Uranus, rings",narrowMatch,Uranus,http://astrothesaurus.org/uat/1751,
"Uranus, satellites",exactMatch,Uranian satellites,http://astrothesaurus.org/uat/1750,
Venus,exactMatch,Venus,http://astrothesaurus.org/uat/1763,
"Venus, atmosphere",narrowMatch,Planetary atmospheres,http://astrothesaurus.org/uat/1244,
"Venus, atmosphere",narrowMatch,Venus,http://astrothesaurus.org/uat/1763,
"Venus, interior",narrowMatch,Planetary interior,http://astrothesaurus.org/uat/1248,
"Venus, interior",narrowMatch,Venus,http://astrothesaurus.org/uat/1763,
"Venus, surface",narrowMatch,Venus,http://astrothesaurus.org/uat/1763,
"Venus, surface",narrowMatch,Planetary surfaces,http://astrothesaurus.org/uat/2113,
Volcanism,exactMatch,Volcanism,http://astrothesaurus.org/uat/2174,
Zodiacal light,exactMatch,Zodiacal cloud,http://astrothesaurus.org/uat/1845,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
