ASK / UAT Crosswalk by Katie Frey (https://orcid.org/0000-0001-9891-4465),,,,
Subject Source: Astronomy Subject Keywords,,Version 2013,https://journals.aas.org/authors/keywords2013.html,
"Instr, Meth, Tech",instrumentation: interferometers,exactMatch,Interferometers,http://astrothesaurus.org/uat/805
"Instr, Meth, Tech",instrumentation: miscellaneous,exactMatch,Astronomical instrumentation,http://astrothesaurus.org/uat/799
"Instr, Meth, Tech",instrumentation: polarimeters,exactMatch,Polarimeters,http://astrothesaurus.org/uat/1277
"Instr, Meth, Tech",instrumentation: spectrographs,relatedMatch,Spectrometers,http://astrothesaurus.org/uat/1554
"Instr, Meth, Tech",instrumentation: spectrographs,relatedMatch,Spectrophotometry,http://astrothesaurus.org/uat/1556
"Instr, Meth, Tech",instrumentation: spectrographs,relatedMatch,Spectroscopy,http://astrothesaurus.org/uat/1558
"Instr, Meth, Tech",light pollution,relatedMatch,Astronomical site protection,http://astrothesaurus.org/uat/94
"Instr, Meth, Tech",methods: analytical,relatedMatch,Analytical mathematics,http://astrothesaurus.org/uat/38
"Instr, Meth, Tech",methods: data analysis,(no match),Astronomy data analysis,http://astrothesaurus.org/uat/1858
"Instr, Meth, Tech",methods: laboratory: atomic,relatedMatch,Atomic physics,http://astrothesaurus.org/uat/2063
"Instr, Meth, Tech",methods: laboratory: molecular,relatedMatch,Molecular physics,http://astrothesaurus.org/uat/2058
"Instr, Meth, Tech",methods: laboratory: solid state,relatedMatch,Solid matter physics,http://astrothesaurus.org/uat/2090
"Instr, Meth, Tech",methods: miscellaneous,exactMatch,Astronomical methods,http://astrothesaurus.org/uat/1043
"Instr, Meth, Tech",methods: numerical,relatedMatch,Computational methods,http://astrothesaurus.org/uat/1965
"Instr, Meth, Tech",methods: observational,exactMatch,Observational astronomy,http://astrothesaurus.org/uat/1145
"Instr, Meth, Tech",methods: statistical,exactMatch,Astrostatistics,http://astrothesaurus.org/uat/1882
"Instr, Meth, Tech",site testing,(no match),,
"Instr, Meth, Tech",space vehicles,exactMatch,Space vehicles,http://astrothesaurus.org/uat/1549
