preferred term,UAT v.2.0.0 URI,UAT v.1.1.0 URI,UAT v.1.1.0 URI
Cirrus uncinus,http://astrothesaurus.org/uat/247,http://astrothesaurus.org/uat/CirrusUncinus,
Cirrus vertebratus,http://astrothesaurus.org/uat/248,http://astrothesaurus.org/uat/CirrusVertebratus,
Classical black holes,http://astrothesaurus.org/uat/249,http://astrothesaurus.org/uat/ClassicalBlackHoles,
Classical Kuiper belt objects,http://astrothesaurus.org/uat/250,http://astrothesaurus.org/uat/ClassicalKuiperBeltObjects,
Classical novae,http://astrothesaurus.org/uat/251,http://astrothesaurus.org/uat/ClassicalNovae,
Classical T Tauri stars,http://astrothesaurus.org/uat/252,http://astrothesaurus.org/uat/ClassicalTTauriStars,
Classification systems,http://astrothesaurus.org/uat/253,http://astrothesaurus.org/uat/ClassificationSystems,
Close binary stars,http://astrothesaurus.org/uat/254,http://astrothesaurus.org/uat/CloseBinaryStars,
Close encounters,http://astrothesaurus.org/uat/255,http://astrothesaurus.org/uat/CloseEncounters,
Closed universe,http://astrothesaurus.org/uat/256,http://astrothesaurus.org/uat/ClosedUniverse,
Cloud monitors,http://astrothesaurus.org/uat/257,http://astrothesaurus.org/uat/CloudMonitors,
Clouds,http://astrothesaurus.org/uat/258,http://astrothesaurus.org/uat/Clouds,
CMBR detectors,http://astrothesaurus.org/uat/259,http://astrothesaurus.org/uat/CmbrDetectors,
CN stars,http://astrothesaurus.org/uat/260,http://astrothesaurus.org/uat/CnStars,
CNO anomaly,http://astrothesaurus.org/uat/261,http://astrothesaurus.org/uat/CnoAnomaly,
CO line emission,http://astrothesaurus.org/uat/262,http://astrothesaurus.org/uat/CoLineEmission,
Cocoon stars,http://astrothesaurus.org/uat/263,http://astrothesaurus.org/uat/CocoonStars,
Coelostats,http://astrothesaurus.org/uat/264,http://astrothesaurus.org/uat/Coelostats,
Cold dark matter,http://astrothesaurus.org/uat/265,http://astrothesaurus.org/uat/ColdDarkMatter,
Cold neutral medium,http://astrothesaurus.org/uat/266,http://astrothesaurus.org/uat/ColdNeutralMedium,
Collapsing clouds,http://astrothesaurus.org/uat/267,http://astrothesaurus.org/uat/CollapsingClouds,
Collimation,http://astrothesaurus.org/uat/268,http://astrothesaurus.org/uat/Collimation,
Color equations,http://astrothesaurus.org/uat/269,http://astrothesaurus.org/uat/ColorEquations,
Coma Cluster,http://astrothesaurus.org/uat/270,http://astrothesaurus.org/uat/ComaCluster,
